epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,627.385,0.64315,0.99883,0.58229,0.96741,0.5753,0.61373,0.56659,0.44853,0.5746,0.60833,0.55662,0.38244,0.74218,1.19495,0.83354,0.86744,0.000608468,0.000608468,0.000608468
31,647.73,0.632,0.98675,0.56259,0.96642,0.6275,0.65909,0.58483,0.46214,0.58767,0.65468,0.55861,0.39002,0.7558,1.18568,0.80935,0.87128,0.000580174,0.000580174,0.000580174
32,668.234,0.62884,0.97698,0.58056,0.9624,0.6994,0.67654,0.60026,0.47782,0.68448,0.63929,0.56846,0.38478,0.71062,1.11243,0.77866,0.84978,0.00055188,0.00055188,0.00055188
33,688.619,0.6308,0.99017,0.57913,0.96224,0.64213,0.62555,0.59429,0.46946,0.61208,0.64246,0.55123,0.3887,0.70854,1.10854,0.79382,0.8468,0.000523586,0.000523586,0.000523586
34,709.867,0.59534,0.89826,0.54326,0.94655,0.71536,0.64206,0.60547,0.47727,0.61993,0.62114,0.53867,0.38007,0.68739,1.15585,0.80406,0.84447,0.000495291,0.000495291,0.000495291
35,730.692,0.61311,0.92628,0.54925,0.95695,0.72173,0.6451,0.61015,0.47842,0.67196,0.61517,0.56711,0.38641,0.70683,1.15488,0.80971,0.85151,0.000466997,0.000466997,0.000466997
36,751.694,0.61812,0.96905,0.5409,0.96417,0.68242,0.66437,0.60826,0.47584,0.65822,0.64485,0.58406,0.3878,0.70867,1.1418,0.78136,0.8504,0.000438703,0.000438703,0.000438703
37,771.82,0.59092,0.92128,0.54025,0.94997,0.68817,0.66437,0.6208,0.47579,0.65298,0.63927,0.57217,0.40707,0.69541,1.15323,0.77619,0.84696,0.000410409,0.000410409,0.000410409
38,791.829,0.5985,0.95499,0.529,0.96303,0.73451,0.66815,0.63103,0.48698,0.68744,0.64026,0.57384,0.4064,0.69372,1.12657,0.76288,0.84416,0.000382115,0.000382115,0.000382115
39,811.674,0.59633,0.91852,0.52898,0.95392,0.7643,0.66708,0.64194,0.48842,0.73112,0.65035,0.60134,0.41564,0.69832,1.12717,0.74705,0.84253,0.00035382,0.00035382,0.00035382
40,831.818,0.57872,0.89913,0.51641,0.94376,0.72842,0.6983,0.64636,0.4959,0.69565,0.67892,0.61189,0.40633,0.68621,1.13622,0.74182,0.84114,0.000325526,0.000325526,0.000325526
41,851.876,0.62854,0.96177,0.64911,0.93506,0.72085,0.66397,0.68001,0.52508,0.68318,0.64319,0.63295,0.42573,0.69625,1.17517,0.76495,0.83581,0.000297232,0.000297232,0.000297232
42,872.055,0.65072,0.91186,0.62399,0.92918,0.7473,0.6686,0.68923,0.52653,0.77591,0.61046,0.64511,0.43616,0.69532,1.14309,0.73991,0.84168,0.000268938,0.000268938,0.000268938
43,891.506,0.59671,0.91747,0.57256,0.92222,0.76646,0.65595,0.68431,0.52494,0.72904,0.63515,0.65005,0.43973,0.67241,1.10648,0.73519,0.84569,0.000240644,0.000240644,0.000240644
44,910.597,0.57166,0.88521,0.54588,0.89723,0.77272,0.65839,0.69812,0.53294,0.72138,0.63189,0.63955,0.43586,0.65651,1.14381,0.69708,0.83806,0.000212349,0.000212349,0.000212349
45,930.437,0.57726,0.91022,0.58657,0.90861,0.77977,0.67971,0.70063,0.54975,0.7396,0.66452,0.66325,0.43548,0.63571,1.12271,0.68727,0.8329,0.000184055,0.000184055,0.000184055
46,949.14,0.56429,0.83727,0.53392,0.91155,0.76971,0.69245,0.69559,0.55769,0.72556,0.67533,0.66293,0.44033,0.63475,1.1094,0.68951,0.83226,0.000155761,0.000155761,0.000155761
47,967.886,0.54145,0.844,0.5204,0.89891,0.75947,0.68966,0.69463,0.56449,0.72224,0.66734,0.65828,0.44826,0.63409,1.11895,0.68951,0.82911,0.000127467,0.000127467,0.000127467
48,986.847,0.57663,0.82929,0.53417,0.91714,0.75775,0.69105,0.68534,0.55272,0.71995,0.66874,0.65005,0.44568,0.62445,1.11325,0.68262,0.82507,9.91726e-05,9.91726e-05,9.91726e-05
49,1005.01,0.54316,0.85411,0.50642,0.88828,0.80521,0.67489,0.69433,0.57018,0.77659,0.65798,0.65879,0.44772,0.61286,1.10964,0.67624,0.82127,7.08784e-05,7.08784e-05,7.08784e-05
50,1024.28,0.55053,0.88817,0.52155,0.90246,0.81056,0.67292,0.69441,0.5714,0.77698,0.65479,0.66236,0.45358,0.61227,1.0979,0.6731,0.8225,4.25842e-05,4.25842e-05,4.25842e-05
