epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.187,1.03356,2.54617,1.8435,1.212,0.80392,0.3402,0.35644,0.29209,0.7788,0.34897,0.3654,0.27037,1.08135,1.96874,1.37502,0.99343,0.000472856,0.000472856,0.000472856
2,58.5109,0.92247,1.72631,1.07123,1.09016,0.4463,0.41675,0.38727,0.32713,0.44261,0.41635,0.37643,0.28735,1.01696,1.79715,1.41589,0.95688,0.000930396,0.000930396,0.000930396
3,83.2411,0.8984,1.61778,0.9574,1.08562,0.79583,0.38943,0.40815,0.32489,0.78687,0.37409,0.38941,0.29586,1.08361,1.82385,1.2138,0.99869,0.00136907,0.00136907,0.00136907
4,107.422,0.91667,1.52895,0.91955,1.06944,0.49264,0.50042,0.42626,0.33155,0.43358,0.43013,0.38235,0.30267,1.0471,1.63064,1.20576,0.96222,0.00134412,0.00134412,0.00134412
5,131.573,0.83766,1.40708,0.83086,1.03948,0.57343,0.43868,0.46584,0.36763,0.6521,0.43114,0.46108,0.32838,0.94403,1.65494,1.22114,0.90669,0.00131582,0.00131582,0.00131582
6,156.159,0.82227,1.33697,0.77913,1.02918,0.50863,0.51919,0.4462,0.34588,0.47026,0.5164,0.44564,0.3186,0.99988,1.42325,1.0994,0.94931,0.00128753,0.00128753,0.00128753
7,185.285,0.80023,1.30496,0.77395,1.02942,0.52738,0.49886,0.47841,0.37395,0.54965,0.46421,0.46846,0.3429,0.92923,1.35181,1.0631,0.93067,0.00125923,0.00125923,0.00125923
8,209.852,0.7855,1.27063,0.73609,1.02543,0.63251,0.50959,0.52646,0.38134,0.55863,0.46924,0.45458,0.31948,0.97055,1.77787,1.09534,0.9372,0.00123094,0.00123094,0.00123094
9,234.053,0.76886,1.22893,0.72332,1.01289,0.58225,0.57156,0.51732,0.4053,0.55747,0.53372,0.49119,0.37024,0.87662,1.25846,0.92811,0.90743,0.00120265,0.00120265,0.00120265
10,259.004,0.7453,1.18345,0.68181,0.99785,0.63987,0.62015,0.56414,0.42541,0.63257,0.62182,0.55615,0.37939,0.84756,1.27828,0.98398,0.88989,0.00117435,0.00117435,0.00117435
