epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,284.973,0.72373,1.13833,0.65397,0.99255,0.62422,0.61578,0.57181,0.44061,0.58506,0.57853,0.53324,0.3695,0.85502,1.21198,0.88316,0.88494,0.00114606,0.00114606,0.00114606
12,313.762,0.72488,1.11751,0.65508,0.98666,0.63093,0.56525,0.55032,0.41418,0.51465,0.61259,0.51776,0.36574,0.89038,1.15322,0.90676,0.88931,0.00111776,0.00111776,0.00111776
13,350.096,0.71782,1.11902,0.62886,0.99135,0.63696,0.62239,0.57158,0.45559,0.61141,0.59909,0.54474,0.3757,0.80241,1.19043,0.92978,0.87307,0.00108947,0.00108947,0.00108947
14,388.747,0.69828,1.08451,0.60624,0.97574,0.65081,0.62811,0.58681,0.45383,0.65316,0.54924,0.55406,0.38142,0.81657,1.29089,0.92761,0.85955,0.00106118,0.00106118,0.00106118
15,426.838,0.67218,1.05833,0.59087,0.97205,0.69427,0.64711,0.6073,0.46243,0.66381,0.62822,0.58039,0.38388,0.79431,1.19426,0.85715,0.86014,0.00103288,0.00103288,0.00103288
16,465.722,0.66118,1.02874,0.57553,0.96498,0.73849,0.60539,0.65962,0.50658,0.70765,0.58789,0.62668,0.40195,0.78797,1.23308,0.90358,0.85517,0.00100459,0.00100459,0.00100459
17,500.581,0.6734,1.02006,0.57976,0.96552,0.73818,0.67596,0.67423,0.51272,0.6893,0.64439,0.62387,0.41031,0.74544,1.16202,0.79416,0.83548,0.000976293,0.000976293,0.000976293
18,535.019,0.64596,0.96876,0.55023,0.95564,0.74015,0.68628,0.66093,0.50846,0.68303,0.64206,0.60244,0.4061,0.83086,1.30939,0.8475,0.85786,0.000947999,0.000947999,0.000947999
19,570.546,0.65095,0.97816,0.55417,0.96306,0.71011,0.68875,0.66574,0.50679,0.65476,0.6501,0.60814,0.40108,0.76321,1.14275,0.80471,0.83905,0.000919704,0.000919704,0.000919704
20,602.961,0.6173,0.9495,0.53191,0.95106,0.71084,0.74279,0.69237,0.50856,0.66254,0.70183,0.62299,0.40725,0.75349,1.20458,0.80702,0.847,0.00089141,0.00089141,0.00089141
21,632.882,0.63767,0.95964,0.53019,0.95624,0.74498,0.69802,0.6671,0.49929,0.68031,0.64584,0.60731,0.40316,0.77588,1.08065,0.83483,0.84776,0.000863116,0.000863116,0.000863116
22,662.955,0.63819,0.93532,0.5347,0.95751,0.73862,0.6906,0.67897,0.52478,0.66696,0.6379,0.60458,0.40621,0.76577,1.10711,0.83615,0.85301,0.000834822,0.000834822,0.000834822
23,692.413,0.61478,0.91552,0.51176,0.93882,0.82209,0.69131,0.69735,0.53578,0.77593,0.66106,0.6561,0.42957,0.73025,1.04512,0.78066,0.83604,0.000806528,0.000806528,0.000806528
24,721.557,0.58586,0.86444,0.49325,0.93456,0.79703,0.69987,0.70731,0.53924,0.75578,0.65717,0.66383,0.43635,0.69536,1.10483,0.7392,0.82533,0.000778233,0.000778233,0.000778233
25,751.77,0.61226,0.91712,0.50378,0.95078,0.80133,0.69001,0.68801,0.55091,0.76235,0.67094,0.64749,0.4149,0.722,1.11851,0.73886,0.825,0.000749939,0.000749939,0.000749939
26,783.323,0.58526,0.91479,0.49094,0.93496,0.75265,0.70031,0.69322,0.5358,0.69739,0.67148,0.6372,0.40193,0.70662,1.11541,0.77251,0.82575,0.000721645,0.000721645,0.000721645
27,814.872,0.59841,0.90103,0.48187,0.93986,0.73458,0.68349,0.69359,0.55142,0.68264,0.6492,0.62647,0.43014,0.68035,1.13899,0.73409,0.81431,0.000693351,0.000693351,0.000693351
28,846.61,0.58187,0.85758,0.48279,0.93505,0.72096,0.69425,0.69024,0.53972,0.67513,0.6556,0.64368,0.43825,0.68436,1.09415,0.73774,0.81174,0.000665057,0.000665057,0.000665057
29,878.629,0.56281,0.83824,0.4589,0.93372,0.74012,0.73946,0.71949,0.57549,0.75872,0.66635,0.67204,0.45071,0.66956,1.035,0.69891,0.81075,0.000636762,0.000636762,0.000636762
30,910.557,0.56781,0.82723,0.46574,0.9315,0.69659,0.73487,0.71615,0.56219,0.67379,0.68074,0.65826,0.44236,0.66392,1.09926,0.70681,0.81335,0.000608468,0.000608468,0.000608468
31,941.765,0.56534,0.85905,0.45419,0.93058,0.81422,0.72522,0.74443,0.59246,0.74316,0.7006,0.68426,0.4621,0.64304,1.0805,0.69367,0.80256,0.000580174,0.000580174,0.000580174
32,973.546,0.55818,0.84561,0.44739,0.91896,0.79096,0.70944,0.73301,0.58291,0.76673,0.69154,0.70304,0.45986,0.66071,1.01241,0.6964,0.80832,0.00055188,0.00055188,0.00055188
33,1008.67,0.54984,0.81578,0.44267,0.92196,0.85095,0.7101,0.75429,0.58671,0.79694,0.66195,0.69996,0.47136,0.6474,1.03246,0.69089,0.80342,0.000523586,0.000523586,0.000523586
34,1042.57,0.54431,0.84673,0.43488,0.92027,0.80144,0.73019,0.72734,0.59058,0.74307,0.69204,0.6749,0.47084,0.65082,1.05242,0.70748,0.80611,0.000495291,0.000495291,0.000495291
35,1072.41,0.55429,0.82857,0.4393,0.93437,0.80226,0.74981,0.75625,0.59307,0.75039,0.70977,0.71445,0.4575,0.62269,1.07784,0.66031,0.79363,0.000466997,0.000466997,0.000466997
36,1102.12,0.52904,0.81082,0.4318,0.92492,0.80805,0.74127,0.748,0.59524,0.76221,0.70185,0.70023,0.47451,0.61867,1.08487,0.6749,0.80311,0.000438703,0.000438703,0.000438703
37,1131.33,0.53193,0.76314,0.42456,0.91615,0.80905,0.74841,0.75395,0.59675,0.75828,0.71256,0.7153,0.47662,0.61828,1.0461,0.65237,0.80023,0.000410409,0.000410409,0.000410409
38,1160.87,0.51241,0.75185,0.40179,0.91611,0.81264,0.75777,0.75114,0.59559,0.74908,0.71215,0.68285,0.48066,0.61665,1.02556,0.65612,0.79045,0.000382115,0.000382115,0.000382115
39,1190.68,0.53157,0.79409,0.41447,0.91801,0.8563,0.75638,0.76351,0.6243,0.79457,0.71566,0.7068,0.48776,0.59637,0.98012,0.65116,0.79249,0.00035382,0.00035382,0.00035382
40,1220.34,0.50175,0.77146,0.39742,0.91706,0.80653,0.76685,0.77671,0.63265,0.774,0.72371,0.72777,0.47808,0.5916,0.97082,0.63966,0.79126,0.000325526,0.000325526,0.000325526
41,1247.86,0.52871,0.76452,0.46116,0.87864,0.7737,0.7611,0.74419,0.60882,0.79454,0.69582,0.68865,0.46021,0.62139,0.99741,0.64892,0.80511,0.000297232,0.000297232,0.000297232
42,1277.64,0.50918,0.75924,0.42895,0.87897,0.79029,0.77172,0.75421,0.612,0.8424,0.67078,0.7051,0.46502,0.62778,1.00312,0.67377,0.80979,0.000268938,0.000268938,0.000268938
43,1313.08,0.49702,0.79037,0.409,0.86856,0.8121,0.75044,0.76344,0.61818,0.75606,0.70936,0.71004,0.47279,0.60109,1.06899,0.62867,0.79264,0.000240644,0.000240644,0.000240644
44,1353.29,0.49612,0.72007,0.39965,0.88212,0.86041,0.74801,0.77566,0.63145,0.78633,0.70099,0.70787,0.48887,0.57768,1.07267,0.6112,0.78385,0.000212349,0.000212349,0.000212349
45,1393.56,0.48613,0.72872,0.39651,0.87383,0.82626,0.7747,0.77826,0.64268,0.76596,0.73028,0.71922,0.49529,0.57119,1.03649,0.59959,0.78783,0.000184055,0.000184055,0.000184055
46,1433.62,0.47225,0.70881,0.37619,0.8685,0.87392,0.76614,0.78377,0.64485,0.81999,0.72191,0.72914,0.49567,0.57277,1.02432,0.61677,0.79259,0.000155761,0.000155761,0.000155761
47,1469.51,0.46698,0.72262,0.37908,0.86261,0.87291,0.76753,0.78501,0.64263,0.81078,0.72051,0.7258,0.48791,0.55839,1.03372,0.60152,0.79409,0.000127467,0.000127467,0.000127467
48,1501.97,0.46718,0.69724,0.36827,0.86225,0.85695,0.77032,0.78235,0.64724,0.80011,0.72648,0.72446,0.49315,0.56331,0.99351,0.59947,0.78783,9.91726e-05,9.91726e-05,9.91726e-05
49,1530.53,0.46429,0.6626,0.36598,0.86198,0.86409,0.7708,0.78337,0.64466,0.81107,0.71773,0.71612,0.49103,0.56273,1.00321,0.59934,0.79047,7.08784e-05,7.08784e-05,7.08784e-05
50,1557.96,0.44501,0.68138,0.36455,0.86062,0.87017,0.76768,0.78515,0.64885,0.80888,0.72191,0.72291,0.49835,0.55512,0.99343,0.60523,0.78746,4.25842e-05,4.25842e-05,4.25842e-05
