epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6697,1.17242,3.33873,2.66987,1.32124,0.82378,0.22222,0.36955,0.24213,0.82378,0.22222,0.36955,0.23548,1.47441,2.62046,2.29156,1.27035,0.000465978,0.000465978,0.000465978
2,38.936,1.06013,2.17629,1.33578,1.20538,0.84563,0.27778,0.41639,0.2245,0.84563,0.27778,0.42289,0.23026,1.63567,2.73419,2.71622,1.44003,0.000923654,0.000923654,0.000923654
3,53.1601,1.06625,2.06195,1.27942,1.20213,0.55648,0.34145,0.4785,0.25163,0.59566,0.32462,0.48372,0.27143,1.63532,2.55168,2.95998,1.41646,0.00136247,0.00136247,0.00136247
4,67.2272,1.02389,1.86062,1.19092,1.17739,0.83101,0.34359,0.30859,0.20866,0.71798,0.34359,0.31166,0.21383,1.51152,2.43039,2.44046,1.29651,0.00134412,0.00134412,0.00134412
5,81.3127,1.01335,1.90928,1.10607,1.14273,0.62626,0.34872,0.24091,0.1779,0.57753,0.34872,0.24595,0.18598,1.35211,2.35262,2.38343,1.22474,0.00131582,0.00131582,0.00131582
6,95.4464,0.97438,1.85206,1.06718,1.13454,0.25125,0.35385,0.24391,0.17254,0.27167,0.35897,0.24882,0.17823,1.5329,2.00889,2.14762,1.31424,0.00128753,0.00128753,0.00128753
7,109.511,0.96876,1.70339,1.09745,1.13611,0.59577,0.35385,0.24917,0.19406,0.22567,0.37589,0.25839,0.2043,1.47787,2.20532,1.93463,1.27058,0.00125923,0.00125923,0.00125923
8,123.582,0.94809,1.73772,1.05903,1.09807,0.62822,0.34872,0.24984,0.18744,0.57183,0.34359,0.2523,0.1842,1.41685,2.23951,1.93974,1.23498,0.00123094,0.00123094,0.00123094
