epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,447.46,0.75786,1.1983,0.69261,1.016,0.93135,0.79787,0.87384,0.66295,0.79777,0.71277,0.75345,0.55503,0.81624,1.09314,0.7274,0.97147,0.00133693,0.00133693,0.00133693
12,487.04,0.76016,1.21391,0.68783,1.01758,0.88513,0.84371,0.91534,0.67382,0.81771,0.78911,0.81001,0.59231,0.78587,0.9229,0.62131,0.94219,0.00130393,0.00130393,0.00130393
13,526.582,0.76042,1.19946,0.66335,1.01138,0.86295,0.87234,0.91661,0.69602,0.88402,0.76596,0.82016,0.58736,0.77134,1.02702,0.64018,0.94374,0.00127092,0.00127092,0.00127092
14,566.463,0.73425,1.1545,0.63208,1.00257,0.86084,0.83125,0.89938,0.70599,0.78111,0.73314,0.74279,0.53942,0.73838,1.06178,0.66299,0.92586,0.00123791,0.00123791,0.00123791
15,605.901,0.72079,1.08471,0.61338,1.0031,0.78626,0.81915,0.83636,0.69438,0.76728,0.72427,0.78255,0.56864,0.70525,1.01101,0.62607,0.91678,0.00120491,0.00120491,0.00120491
16,645.107,0.7151,1.11712,0.60003,0.99258,0.84532,0.8806,0.88692,0.67979,0.74066,0.77422,0.7379,0.55659,0.72971,1.04537,0.6227,0.91913,0.0011719,0.0011719,0.0011719
17,684.523,0.7014,1.05642,0.58524,0.99021,0.93113,0.82595,0.90579,0.71807,0.74637,0.81915,0.80197,0.60344,0.68236,0.8966,0.58273,0.91108,0.00113889,0.00113889,0.00113889
18,724.258,0.69539,1.09116,0.58693,0.99757,0.85998,0.91489,0.91576,0.72068,0.75429,0.80851,0.7933,0.59513,0.73269,0.86491,0.64634,0.93464,0.00110589,0.00110589,0.00110589
19,763.514,0.69892,1.08137,0.5861,0.9811,0.94256,0.85874,0.93527,0.74748,0.78201,0.81915,0.81748,0.59705,0.70275,0.90755,0.63825,0.9168,0.00107288,0.00107288,0.00107288
20,803.45,0.66292,1.02366,0.54541,0.98758,0.9339,0.87234,0.92409,0.7415,0.81524,0.7766,0.80466,0.61197,0.67127,0.75377,0.58063,0.89169,0.00103987,0.00103987,0.00103987
21,842.581,0.66728,0.99725,0.54753,0.97835,0.90577,0.91042,0.92926,0.74396,0.77307,0.83405,0.80698,0.59169,0.66405,0.81063,0.54894,0.89274,0.00100687,0.00100687,0.00100687
22,881.872,0.65536,0.97739,0.53055,0.96992,0.89589,0.9078,0.93023,0.73827,0.82039,0.83357,0.82851,0.61161,0.71615,0.76746,0.48401,0.90408,0.000973861,0.000973861,0.000973861
23,921.065,0.63487,0.98998,0.50696,0.95012,0.95782,0.90426,0.95704,0.74674,0.79246,0.87824,0.8461,0.61645,0.66732,0.82318,0.46596,0.8863,0.000940855,0.000940855,0.000940855
24,960.308,0.63945,0.98383,0.51076,0.95142,0.93114,0.90426,0.926,0.75693,0.83603,0.81915,0.84595,0.6307,0.64372,0.72438,0.50094,0.8856,0.000907848,0.000907848,0.000907848
25,1000.09,0.62696,0.93559,0.50028,0.96596,0.90658,0.92553,0.94661,0.75105,0.81103,0.82979,0.84271,0.62257,0.65969,0.7914,0.45604,0.88644,0.000874842,0.000874842,0.000874842
26,1038.81,0.61373,0.9281,0.47511,0.94685,0.92952,0.89971,0.93281,0.76819,0.84206,0.81915,0.83718,0.60131,0.61733,0.80528,0.43992,0.87245,0.000841835,0.000841835,0.000841835
27,1077.95,0.61993,0.92851,0.48175,0.94773,0.9436,0.89938,0.94075,0.78675,0.85573,0.82806,0.86508,0.61861,0.60602,0.71088,0.48054,0.87285,0.000808828,0.000808828,0.000808828
28,1117.26,0.60022,0.91461,0.46687,0.95061,0.96119,0.89362,0.94812,0.79339,0.86168,0.80851,0.84924,0.61979,0.57115,0.72454,0.42198,0.87771,0.000775822,0.000775822,0.000775822
29,1157.1,0.60479,0.89096,0.47416,0.95231,0.94042,0.92553,0.96054,0.79479,0.82002,0.82064,0.843,0.61695,0.59431,0.70393,0.41314,0.87746,0.000742815,0.000742815,0.000742815
30,1196.44,0.58975,0.90046,0.46065,0.93296,0.93707,0.93054,0.95811,0.8089,0.854,0.85106,0.85196,0.62606,0.56447,0.71822,0.42188,0.87227,0.000709809,0.000709809,0.000709809
31,1235.93,0.58503,0.88475,0.44973,0.93263,0.9278,0.88412,0.94474,0.77952,0.77131,0.82979,0.81495,0.60329,0.58353,0.71341,0.40684,0.87134,0.000676802,0.000676802,0.000676802
32,1276.14,0.58143,0.86909,0.43948,0.93968,0.9783,0.88031,0.95392,0.79269,0.8832,0.81915,0.86151,0.63041,0.58085,0.69597,0.40251,0.86167,0.000643795,0.000643795,0.000643795
33,1315.81,0.56287,0.84403,0.43747,0.92543,0.93042,0.91489,0.94979,0.7919,0.86943,0.8617,0.87261,0.6401,0.58522,0.69876,0.38246,0.85948,0.000610789,0.000610789,0.000610789
34,1354.68,0.54428,0.81527,0.42188,0.92179,0.92798,0.92986,0.96009,0.82393,0.87723,0.84327,0.85233,0.63071,0.53672,0.64474,0.37552,0.86228,0.000577782,0.000577782,0.000577782
35,1394.36,0.54721,0.82423,0.41523,0.92099,0.95132,0.92207,0.96178,0.80898,0.9447,0.80377,0.85975,0.62849,0.53853,0.64203,0.38521,0.85532,0.000544776,0.000544776,0.000544776
36,1434.26,0.55966,0.8022,0.42043,0.9311,0.96717,0.91489,0.96558,0.80457,0.90875,0.82273,0.86986,0.62519,0.56103,0.67532,0.39827,0.86921,0.000511769,0.000511769,0.000511769
37,1473.24,0.56127,0.82151,0.41873,0.93024,0.94975,0.92598,0.95643,0.81019,0.87777,0.81915,0.84678,0.62475,0.53772,0.66294,0.39252,0.85203,0.000478762,0.000478762,0.000478762
38,1512.45,0.53637,0.78964,0.40272,0.91643,0.93263,0.94681,0.96133,0.80659,0.82579,0.84043,0.83952,0.61734,0.53737,0.63971,0.37279,0.84238,0.000445756,0.000445756,0.000445756
39,1552.02,0.51883,0.77708,0.39389,0.91148,0.95076,0.92553,0.94786,0.82939,0.91346,0.79787,0.85909,0.65337,0.50693,0.60629,0.36773,0.84955,0.000412749,0.000412749,0.000412749
40,1591.64,0.51782,0.77797,0.38849,0.91398,0.95565,0.90426,0.95389,0.82832,0.86592,0.85106,0.87937,0.6458,0.5049,0.63328,0.35317,0.8441,0.000379743,0.000379743,0.000379743
41,1627.46,0.54707,0.79145,0.46091,0.89798,0.97598,0.90426,0.96381,0.81938,0.83242,0.87234,0.86599,0.64532,0.52763,0.6272,0.3751,0.84878,0.000346736,0.000346736,0.000346736
42,1663.18,0.53311,0.76954,0.43159,0.90102,0.95335,0.9228,0.96634,0.8349,0.88258,0.8617,0.86929,0.63109,0.48848,0.64949,0.36443,0.8396,0.000313729,0.000313729,0.000313729
43,1699.28,0.52305,0.77222,0.40987,0.88602,0.95306,0.93209,0.96761,0.82365,0.87834,0.8617,0.86369,0.63639,0.49481,0.64476,0.35747,0.84163,0.000280723,0.000280723,0.000280723
44,1735.07,0.52508,0.74848,0.40975,0.89431,0.96395,0.92553,0.9689,0.8357,0.90418,0.85876,0.89124,0.66246,0.50908,0.61345,0.36319,0.8478,0.000247716,0.000247716,0.000247716
45,1770.96,0.50493,0.71611,0.38578,0.87684,0.95275,0.93302,0.97024,0.83559,0.9173,0.89362,0.92605,0.65313,0.50135,0.58989,0.36169,0.84296,0.00021471,0.00021471,0.00021471
46,1807.14,0.49286,0.74267,0.38206,0.88539,0.93834,0.94681,0.97217,0.84058,0.87497,0.84043,0.85089,0.62049,0.46653,0.62839,0.35015,0.83857,0.000181703,0.000181703,0.000181703
47,1843.91,0.49069,0.72145,0.37759,0.88722,0.95268,0.94998,0.97132,0.84492,0.9028,0.8617,0.87872,0.65282,0.46044,0.58653,0.32981,0.84358,0.000148696,0.000148696,0.000148696
48,1879.88,0.46879,0.71146,0.36483,0.87308,0.9373,0.95745,0.96661,0.84783,0.85326,0.87234,0.87551,0.64134,0.46651,0.60628,0.32576,0.8395,0.00011569,0.00011569,0.00011569
49,1916.27,0.47335,0.70193,0.36824,0.86967,0.94745,0.95745,0.97117,0.84817,0.87278,0.86161,0.87555,0.64297,0.4595,0.60713,0.33642,0.8344,8.26832e-05,8.26832e-05,8.26832e-05
