epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.299,1.12097,2.49353,1.95532,1.29463,0.91319,0.5619,0.69725,0.49521,0.91319,0.5619,0.6823,0.4795,1.15268,1.55463,1.48584,1.24783,0.000550876,0.000550876,0.000550876
2,93.4549,1.00049,1.66895,1.24513,1.16285,0.5977,0.70213,0.67765,0.49282,0.53039,0.64473,0.61339,0.46526,1.08232,1.53717,1.3992,1.15731,0.00108463,0.00108463,0.00108463
3,133.164,0.98673,1.56652,1.13979,1.15483,0.50941,0.64389,0.60733,0.39612,0.46641,0.61656,0.57035,0.38649,1.19086,1.34853,1.36077,1.21525,0.00159639,0.00159639,0.00159639
4,173.451,0.97095,1.50406,1.0743,1.14347,0.74776,0.73404,0.78788,0.51438,0.68005,0.69149,0.68262,0.4545,1.11025,1.41761,1.22035,1.12454,0.00156798,0.00156798,0.00156798
5,213.225,0.91272,1.38946,0.98727,1.1032,0.62253,0.72418,0.78587,0.55704,0.52589,0.65844,0.68201,0.48248,0.95843,1.28092,1.46551,1.03264,0.00153497,0.00153497,0.00153497
6,252.286,0.88568,1.42313,0.92188,1.07955,0.93608,0.79372,0.86465,0.62184,0.77536,0.68085,0.71117,0.51742,0.90235,1.24105,0.94045,1.01413,0.00150197,0.00150197,0.00150197
7,292.289,0.87041,1.31999,0.85618,1.06985,0.88615,0.78481,0.86646,0.62158,0.76874,0.73404,0.73061,0.53278,0.92531,1.14254,0.86087,1.02532,0.00146896,0.00146896,0.00146896
8,332.485,0.84361,1.27954,0.80174,1.06161,0.88923,0.82979,0.89752,0.60592,0.77693,0.76596,0.79181,0.51984,0.87233,1.07592,0.88687,1.00091,0.00143595,0.00143595,0.00143595
9,370.523,0.80802,1.23779,0.76514,1.04383,0.80949,0.84043,0.87734,0.64861,0.72849,0.76596,0.78971,0.58057,0.82656,0.94506,0.72301,0.95839,0.00140295,0.00140295,0.00140295
10,409.005,0.77051,1.2211,0.7221,1.02906,0.81636,0.84043,0.84796,0.63639,0.73468,0.74468,0.73299,0.55408,0.86055,0.96288,0.80275,0.9666,0.00136994,0.00136994,0.00136994
